quantity_available,manufacturer,unit_price,product_status,product_url,standard_pricing,manufacturer_product_number,datasheet_url,Contact Type,Pitch - Mating,Number of Positions,Number of Rows,Mounting Type,Contact Length - Mating,Contact Length - Post,Insulation Height,Current Rating (Amps),Voltage Rating
81821,Harwin Inc.,0.1,Active,https://www.digikey.com/en/products/detail/harwin-inc/M20-9990246/3728226,1 in Bulk for 0.1  10 in Bulk for 0.79  100 in Bulk for 6.69  500 in Bulk for 29.85  1000 in Bulk for 56.84  5000 in Bulk for 253.65  10000 in Bulk for 483.1 ,M20-9990246,https://cdn.harwin.com/pdfs/M20-999.pdf,Male Pin,"0.100"" (2.54mm)",2,1,Through Hole,"0.240"" (6.10mm)","0.118"" (3.00mm)","0.100"" (2.54mm)",3A per Contact,-
42744,Samtec Inc.,0.11,Active,https://www.digikey.com/en/products/detail/samtec-inc/TSW-102-07-F-S/2685866,1 in Bag for 0.11  50 in Bag for 4.5  100 in Bag for 8.0  500 in Bag for 35.0  1000 in Bag for 60.0  2000 in Bag for 100.0  5000 in Bag for 200.0 ,TSW-102-07-F-S,https://suddendocs.samtec.com/catalog_english/tsw_th.pdf,Male Pin,"0.100"" (2.54mm)",2,1,Through Hole,"0.230"" (5.84mm)","0.100"" (2.54mm)","0.100"" (2.54mm)",-,-
272211,Würth Elektronik,0.12,Active,https://www.digikey.com/en/products/detail/würth-elektronik/61300211121/4846823,1 in Bulk for 0.12  10 in Bulk for 1.02  25 in Bulk for 2.12  50 in Bulk for 3.56  100 in Bulk for 6.39  1000 in Bulk for 60.0 ,61300211121,https://www.we-online.com/components/products/datasheet/61300211121.pdf,Male Pin,"0.100"" (2.54mm)",2,1,Through Hole,"0.236"" (6.00mm)","0.118"" (3.00mm)","0.100"" (2.54mm)",3A,250V
34083,Harwin Inc.,0.12,Active,https://www.digikey.com/en/products/detail/harwin-inc/M20-9990245/3728225,1 in Bulk for 0.12  10 in Bulk for 1.02  100 in Bulk for 8.63  500 in Bulk for 38.51  1000 in Bulk for 73.34  5000 in Bulk for 327.25  10000 in Bulk for 623.3 ,M20-9990245,https://cdn.harwin.com/pdfs/M20-999.pdf,Male Pin,"0.100"" (2.54mm)",2,1,Through Hole,"0.240"" (6.10mm)","0.118"" (3.00mm)","0.100"" (2.54mm)",3A per Contact,-
35470,Amphenol ICC (FCI),0.16,Active,https://www.digikey.com/en/products/detail/amphenol-cs-fci/77311-118-02LF/1523689,1 in Bulk for 0.16  10 in Bulk for 1.32  100 in Bulk for 11.24  500 in Bulk for 50.16  1000 in Bulk for 95.51  5000 in Bulk for 426.25  10000 in Bulk for 811.8 ,77311-118-02LF,https://www.waldom.com/upload/parts/datasheets/mf-fci/fci-77311-118-02lf.pdf,Male Pin,"0.100"" (2.54mm)",2,1,Through Hole,"0.230"" (5.84mm)","0.120"" (3.05mm)","0.100"" (2.54mm)",3A per Contact,-
100747,Amphenol ICC (FCI),0.21,Active,https://www.digikey.com/en/products/detail/amphenol-cs-fci/68000-102HLF/1493545,1 in Bag for 0.21  10 in Bag for 1.77  100 in Bag for 14.99  500 in Bag for 66.9  1000 in Bag for 127.41  5000 in Bag for 568.6  10000 in Bag for 1082.9 ,68000-102HLF,https://cdn.amphenol-cs.com/media/wysiwyg/files/documentation/datasheet/boardwiretoboard/bwb_bergstik.pdf,Male Pin,"0.100"" (2.54mm)",2,1,Through Hole,"0.230"" (5.84mm)","0.095"" (2.41mm)","0.100"" (2.54mm)",3A per Contact,-
22694,TE Connectivity AMP Connectors,0.22,Active,https://www.digikey.com/en/products/detail/te-connectivity-amp-connectors/3-644456-2/698344,1 in Bulk for 0.22  10 in Bulk for 1.83  100 in Bulk for 15.53  500 in Bulk for 69.31  1000 in Bulk for 131.99  5000 in Bulk for 589.05  10000 in Bulk for 1121.9 ,3-644456-2,https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=644456&DocType=Customer+Drawing&DocLang=English,Male Pin,"0.100"" (2.54mm)",2,1,Through Hole,"0.295"" (7.49mm)","0.110"" (2.79mm)","0.100"" (2.54mm)",Varies by Wire Gauge,250VAC
47838,Harwin Inc.,0.24,Active,https://www.digikey.com/en/products/detail/harwin-inc/M20-9980346/3728085,1 in Bulk for 0.24  10 in Bulk for 2.06  100 in Bulk for 17.47  500 in Bulk for 77.93  1000 in Bulk for 148.41  5000 in Bulk for 662.35  10000 in Bulk for 1261.4 ,M20-9980346,https://cdn.harwin.com/pdfs/M20-998.pdf,Male Pin,"0.100"" (2.54mm)",6,2,Through Hole,"0.240"" (6.10mm)","0.118"" (3.00mm)","0.100"" (2.54mm)",3A per Contact,-
5644,Amphenol ICC (FCI),0.3,Active,https://www.digikey.com/en/products/detail/amphenol-cs-fci/67997-410HLF/1878475,1 in Bag for 0.3  10 in Bag for 2.55  400 in Bag for 78.66  800 in Bag for 149.8  1200 in Bag for 218.364  5200 in Bag for 853.164  10000 in Bag for 1566.7 ,67997-410HLF,https://cdn.amphenol-cs.com/media/wysiwyg/files/documentation/datasheet/boardwiretoboard/bwb_bergstik.pdf,Male Pin,"0.100"" (2.54mm)",10,2,Through Hole,"0.230"" (5.84mm)","0.120"" (3.05mm)","0.100"" (2.54mm)",3A,-
14642,Samtec Inc.,0.32,Active,https://www.digikey.com/en/products/detail/samtec-inc/TSM-102-01-L-SV/2685520,1 in Bulk for 0.32  250 in Bulk for 66.53  1000 in Bulk for 226.99  5000 in Bulk for 927.55  10000 in Bulk for 1498.0  25000 in Bulk for 3537.0  75000 in Bulk for 9555.0 ,TSM-102-01-L-SV,https://suddendocs.samtec.com/catalog_english/tsm.pdf,Male Pin,"0.100"" (2.54mm)",2,1,Surface Mount,"0.230"" (5.84mm)",-,"0.100"" (2.54mm)",-,-
