quantity_available,manufacturer,unit_price,product_status,product_url,standard_pricing,manufacturer_product_number,datasheet_url,Type,Frequency,Frequency Stability,Frequency Tolerance,Load Capacitance,ESR (Equivalent Series Resistance),Operating Mode,Operating Temperature,Package / Case,Mounting Type
70158,EPSON,0.39,Active,https://www.digikey.com/en/products/detail/epson/TSX-3225-24-0000MF20G-AC0/2819192,1000 in Tape & Reel (TR) for 258.58  2000 in Tape & Reel (TR) for 495.78  3000 in Tape & Reel (TR) for 725.49  5000 in Tape & Reel (TR) for 1172.1  7000 in Tape & Reel (TR) for 1607.69  10000 in Tape & Reel (TR) for 2247.3  12000 in Tape & Reel (TR) for 2667.0  24000 in Tape & Reel (TR) for 5113.68  25000 in Tape & Reel (TR) for 5313.5  1 in Cut Tape (CT) for 0.39  10 in Cut Tape (CT) for 3.42  25 in Cut Tape (CT) for 8.09  50 in Cut Tape (CT) for 15.52  100 in Cut Tape (CT) for 29.76  250 in Cut Tape (CT) for 70.35  500 in Cut Tape (CT) for 134.87  1 in Digi-Reel® for 0.39  10 in Digi-Reel® for 3.42  25 in Digi-Reel® for 8.09  50 in Digi-Reel® for 15.52  100 in Digi-Reel® for 29.76  250 in Digi-Reel® for 70.35  500 in Digi-Reel® for 134.87 ,TSX-3225 24.0000MF20G-AC0,https://support.epson.biz/td/api/doc_check.php?dl=brief_TSX-3225&lang=en,MHz Crystal,24 MHz,±20ppm,±10ppm,9pF,40 Ohms,Fundamental,-40°C ~ 105°C,"4-SMD, No Lead",Surface Mount
50383,Molex,0.39,Active,https://www.digikey.com/en/products/detail/molex/0781710005/2424926,4500 in Tape & Reel (TR) for 961.56  9000 in Tape & Reel (TR) for 1831.32  13500 in Tape & Reel (TR) for 2669.625  22500 in Tape & Reel (TR) for 4291.875  31500 in Tape & Reel (TR) for 5867.82  45000 in Tape & Reel (TR) for 8174.25  1 in Cut Tape (CT) for 0.39  10 in Cut Tape (CT) for 3.29  100 in Cut Tape (CT) for 27.96  500 in Cut Tape (CT) for 124.77  1000 in Cut Tape (CT) for 237.62  1 in Digi-Reel® for 0.39  10 in Digi-Reel® for 3.29  100 in Digi-Reel® for 27.96  500 in Digi-Reel® for 124.77  1000 in Digi-Reel® for 237.62 ,0781710005,https://www.molex.com/en-us/products/part-detail/781710005?display=pdf,,,,,,,,-40°C ~ 105°C,,Surface Mount
43347,EPSON,0.39,Active,https://www.digikey.com/en/products/detail/epson/TSX-3225-24-0000MF15X-AC6/5261221,2000 in Tape & Reel (TR) for 495.78  4000 in Tape & Reel (TR) for 950.52  6000 in Tape & Reel (TR) for 1391.04  10000 in Tape & Reel (TR) for 2247.3  14000 in Tape & Reel (TR) for 3082.52  20000 in Tape & Reel (TR) for 4309.0  24000 in Tape & Reel (TR) for 5113.68  48000 in Tape & Reel (TR) for 9805.44  1 in Cut Tape (CT) for 0.39  10 in Cut Tape (CT) for 3.42  25 in Cut Tape (CT) for 8.09  50 in Cut Tape (CT) for 15.52  100 in Cut Tape (CT) for 29.76  250 in Cut Tape (CT) for 70.35  500 in Cut Tape (CT) for 134.87  1000 in Cut Tape (CT) for 258.58  1 in Digi-Reel® for 0.39  10 in Digi-Reel® for 3.42  25 in Digi-Reel® for 8.09  50 in Digi-Reel® for 15.52  100 in Digi-Reel® for 29.76  250 in Digi-Reel® for 70.35  500 in Digi-Reel® for 134.87  1000 in Digi-Reel® for 258.58 ,TSX-3225 24.0000MF15X-AC6,https://support.epson.biz/td/api/doc_check.php?dl=brief_TSX-3225&lang=en,MHz Crystal,24 MHz,±15ppm,±10ppm,9pF,40 Ohms,Fundamental,-40°C ~ 85°C,"4-SMD, No Lead",Surface Mount
41639,Abracon LLC,0.39,Active,https://www.digikey.com/en/products/detail/abracon-llc/ABLS2-12-000MHZ-D4Y-T/2001236,1000 in Tape & Reel (TR) for 204.01  2000 in Tape & Reel (TR) for 370.9  1 in Cut Tape (CT) for 0.39  10 in Cut Tape (CT) for 3.42  25 in Cut Tape (CT) for 8.09  50 in Cut Tape (CT) for 15.52  100 in Cut Tape (CT) for 29.39  250 in Cut Tape (CT) for 70.35  500 in Cut Tape (CT) for 134.87  1 in Digi-Reel® for 0.39  10 in Digi-Reel® for 3.42  25 in Digi-Reel® for 8.09  50 in Digi-Reel® for 15.52  100 in Digi-Reel® for 29.39  250 in Digi-Reel® for 70.35  500 in Digi-Reel® for 134.87 ,ABLS2-12.000MHZ-D4Y-T,https://abracon.com/Resonators/ABLS2.pdf,MHz Crystal,12 MHz,±30ppm,±30ppm,18pF,50 Ohms,Fundamental,-40°C ~ 85°C,HC-49/US,Surface Mount
38037,EPSON,0.39,Active,https://www.digikey.com/en/products/detail/epson/TSX-3225-16-0000MF18X-AC0/5260855,1000 in Tape & Reel (TR) for 258.58  2000 in Tape & Reel (TR) for 495.78  3000 in Tape & Reel (TR) for 725.49  5000 in Tape & Reel (TR) for 1172.1  7000 in Tape & Reel (TR) for 1607.69  10000 in Tape & Reel (TR) for 2247.3  12000 in Tape & Reel (TR) for 2667.0  24000 in Tape & Reel (TR) for 5113.68  25000 in Tape & Reel (TR) for 5313.5  1 in Cut Tape (CT) for 0.39  10 in Cut Tape (CT) for 3.42  25 in Cut Tape (CT) for 8.09  50 in Cut Tape (CT) for 15.52  100 in Cut Tape (CT) for 29.76  250 in Cut Tape (CT) for 70.35  500 in Cut Tape (CT) for 134.87  1 in Digi-Reel® for 0.39  10 in Digi-Reel® for 3.42  25 in Digi-Reel® for 8.09  50 in Digi-Reel® for 15.52  100 in Digi-Reel® for 29.76  250 in Digi-Reel® for 70.35  500 in Digi-Reel® for 134.87 ,TSX-3225 16.0000MF18X-AC0,https://support.epson.biz/td/api/doc_check.php?dl=brief_TSX-3225&lang=en,MHz Crystal,16 MHz,±18ppm,±10ppm,9pF,60 Ohms,Fundamental,-40°C ~ 85°C,"4-SMD, No Lead",Surface Mount
29304,EPSON,0.39,Active,https://www.digikey.com/en/products/detail/epson/TSX-3225-16-0000MF10U-B0/5260851,1000 in Tape & Reel (TR) for 258.58  2000 in Tape & Reel (TR) for 495.78  3000 in Tape & Reel (TR) for 725.49  5000 in Tape & Reel (TR) for 1172.1  7000 in Tape & Reel (TR) for 1607.69  10000 in Tape & Reel (TR) for 2247.3  12000 in Tape & Reel (TR) for 2667.0  24000 in Tape & Reel (TR) for 5113.68  25000 in Tape & Reel (TR) for 5313.5  1 in Cut Tape (CT) for 0.39  10 in Cut Tape (CT) for 3.42  25 in Cut Tape (CT) for 8.09  50 in Cut Tape (CT) for 15.52  100 in Cut Tape (CT) for 29.76  250 in Cut Tape (CT) for 70.35  500 in Cut Tape (CT) for 134.87  1 in Digi-Reel® for 0.39  10 in Digi-Reel® for 3.42  25 in Digi-Reel® for 8.09  50 in Digi-Reel® for 15.52  100 in Digi-Reel® for 29.76  250 in Digi-Reel® for 70.35  500 in Digi-Reel® for 134.87 ,TSX-3225 16.0000MF10U-B0,https://support.epson.biz/td/api/doc_check.php?dl=brief_TSX-3225&lang=en,MHz Crystal,16 MHz,±10ppm,±10ppm,16pF,60 Ohms,Fundamental,-10°C ~ 60°C,"4-SMD, No Lead",Surface Mount
28936,EPSON,0.39,Active,https://www.digikey.com/en/products/detail/epson/TSX-3225-24-0000MF18X-C0/7430945,1000 in Tape & Reel (TR) for 258.58  2000 in Tape & Reel (TR) for 495.78  3000 in Tape & Reel (TR) for 725.49  5000 in Tape & Reel (TR) for 1172.1  7000 in Tape & Reel (TR) for 1607.69  10000 in Tape & Reel (TR) for 2247.3  12000 in Tape & Reel (TR) for 2667.0  24000 in Tape & Reel (TR) for 5113.68  25000 in Tape & Reel (TR) for 5313.5  1 in Cut Tape (CT) for 0.39  10 in Cut Tape (CT) for 3.42  25 in Cut Tape (CT) for 8.09  50 in Cut Tape (CT) for 15.52  100 in Cut Tape (CT) for 29.76  250 in Cut Tape (CT) for 70.35  500 in Cut Tape (CT) for 134.87  1 in Digi-Reel® for 0.39  10 in Digi-Reel® for 3.42  25 in Digi-Reel® for 8.09  50 in Digi-Reel® for 15.52  100 in Digi-Reel® for 29.76  250 in Digi-Reel® for 70.35  500 in Digi-Reel® for 134.87 ,TSX-3225 24.0000MF18X-C0,https://support.epson.biz/td/api/doc_check.php?dl=brief_TSX-3225&lang=en,MHz Crystal,24 MHz,±18ppm,±10ppm,18pF,40 Ohms,Fundamental,-40°C ~ 85°C,"4-SMD, No Lead",Surface Mount
21919,EPSON,0.39,Active,https://www.digikey.com/en/products/detail/epson/TSX-3225-16-0000MF09Z-AC0/5260850,1000 in Tape & Reel (TR) for 258.58  2000 in Tape & Reel (TR) for 495.78  3000 in Tape & Reel (TR) for 725.49  5000 in Tape & Reel (TR) for 1172.1  7000 in Tape & Reel (TR) for 1607.69  10000 in Tape & Reel (TR) for 2247.3  12000 in Tape & Reel (TR) for 2667.0  24000 in Tape & Reel (TR) for 5113.68  25000 in Tape & Reel (TR) for 5313.5  1 in Cut Tape (CT) for 0.39  10 in Cut Tape (CT) for 3.42  25 in Cut Tape (CT) for 8.09  50 in Cut Tape (CT) for 15.52  100 in Cut Tape (CT) for 29.76  250 in Cut Tape (CT) for 70.35  500 in Cut Tape (CT) for 134.87  1 in Digi-Reel® for 0.39  10 in Digi-Reel® for 3.42  25 in Digi-Reel® for 8.09  50 in Digi-Reel® for 15.52  100 in Digi-Reel® for 29.76  250 in Digi-Reel® for 70.35  500 in Digi-Reel® for 134.87 ,TSX-3225 16.0000MF09Z-AC0,https://support.epson.biz/td/api/doc_check.php?dl=brief_TSX-3225&lang=en,MHz Crystal,16 MHz,±9ppm,±10ppm,9pF,60 Ohms,Fundamental,-20°C ~ 75°C,"4-SMD, No Lead",Surface Mount
20731,EPSON,0.39,Active,https://www.digikey.com/en/products/detail/epson/TSX-3225-24-0000MF15X-AC0/5260872,1000 in Tape & Reel (TR) for 258.58  2000 in Tape & Reel (TR) for 495.78  3000 in Tape & Reel (TR) for 725.49  5000 in Tape & Reel (TR) for 1172.1  7000 in Tape & Reel (TR) for 1607.69  10000 in Tape & Reel (TR) for 2247.3  12000 in Tape & Reel (TR) for 2667.0  24000 in Tape & Reel (TR) for 5113.68  25000 in Tape & Reel (TR) for 5313.5  1 in Cut Tape (CT) for 0.39  10 in Cut Tape (CT) for 3.42  25 in Cut Tape (CT) for 8.09  50 in Cut Tape (CT) for 15.52  100 in Cut Tape (CT) for 29.76  250 in Cut Tape (CT) for 70.35  500 in Cut Tape (CT) for 134.87  1 in Digi-Reel® for 0.39  10 in Digi-Reel® for 3.42  25 in Digi-Reel® for 8.09  50 in Digi-Reel® for 15.52  100 in Digi-Reel® for 29.76  250 in Digi-Reel® for 70.35  500 in Digi-Reel® for 134.87 ,TSX-3225 24.0000MF15X-AC0,https://support.epson.biz/td/api/doc_check.php?dl=brief_TSX-3225&lang=en,MHz Crystal,24 MHz,±15ppm,±10ppm,9pF,40 Ohms,Fundamental,-40°C ~ 85°C,"4-SMD, No Lead",Surface Mount
20554,EPSON,0.39,Active,https://www.digikey.com/en/products/detail/epson/TSX-3225-25-0000MF10P-C0/7430946,1000 in Tape & Reel (TR) for 258.58  2000 in Tape & Reel (TR) for 495.78  3000 in Tape & Reel (TR) for 725.49  5000 in Tape & Reel (TR) for 1172.1  7000 in Tape & Reel (TR) for 1607.69  10000 in Tape & Reel (TR) for 2247.3  12000 in Tape & Reel (TR) for 2667.0  24000 in Tape & Reel (TR) for 5113.68  25000 in Tape & Reel (TR) for 5313.5  1 in Cut Tape (CT) for 0.39  10 in Cut Tape (CT) for 3.42  25 in Cut Tape (CT) for 8.09  50 in Cut Tape (CT) for 15.52  100 in Cut Tape (CT) for 29.76  250 in Cut Tape (CT) for 70.35  500 in Cut Tape (CT) for 134.87  1 in Digi-Reel® for 0.39  10 in Digi-Reel® for 3.42  25 in Digi-Reel® for 8.09  50 in Digi-Reel® for 15.52  100 in Digi-Reel® for 29.76  250 in Digi-Reel® for 70.35  500 in Digi-Reel® for 134.87 ,TSX-3225 25.0000MF10P-C0,https://support.epson.biz/td/api/doc_check.php?dl=brief_TSX-3225&lang=en,MHz Crystal,25 MHz,±10ppm,±10ppm,18pF,40 Ohms,Fundamental,-20°C ~ 85°C,"4-SMD, No Lead",Surface Mount
