Tape & Reel (TR),Cut Tape (CT),Digi-Reel®
1000 for 258.58 2000 for 495.78 3000 for 725.49 5000 for 1172.1 7000 for 1607.69 10000 for 2247.3 12000 for 2667.0 24000 for 5113.68 25000 for 5313.5,1 for 0.39 10 for 3.42 25 for 8.09 50 for 15.52 100 for 29.76 250 for 70.35 500 for 134.87,1 for 0.39 10 for 3.42 25 for 8.09 50 for 15.52 100 for 29.76 250 for 70.35 500 for 134.87
4500 for 961.56 9000 for 1831.32 13500 for 2669.625 22500 for 4291.875 31500 for 5867.82 45000 for 8174.25,1 for 0.39 10 for 3.29 100 for 27.96 500 for 124.77 1000 for 237.62,1 for 0.39 10 for 3.29 100 for 27.96 500 for 124.77 1000 for 237.62
2000 for 495.78 4000 for 950.52 6000 for 1391.04 10000 for 2247.3 14000 for 3082.52 20000 for 4309.0 24000 for 5113.68 48000 for 9805.44,1 for 0.39 10 for 3.42 25 for 8.09 50 for 15.52 100 for 29.76 250 for 70.35 500 for 134.87 1000 for 258.58,1 for 0.39 10 for 3.42 25 for 8.09 50 for 15.52 100 for 29.76 250 for 70.35 500 for 134.87 1000 for 258.58
1000 for 204.01 2000 for 370.9,1 for 0.39 10 for 3.42 25 for 8.09 50 for 15.52 100 for 29.39 250 for 70.35 500 for 134.87,1 for 0.39 10 for 3.42 25 for 8.09 50 for 15.52 100 for 29.39 250 for 70.35 500 for 134.87
1000 for 258.58 2000 for 495.78 3000 for 725.49 5000 for 1172.1 7000 for 1607.69 10000 for 2247.3 12000 for 2667.0 24000 for 5113.68 25000 for 5313.5,1 for 0.39 10 for 3.42 25 for 8.09 50 for 15.52 100 for 29.76 250 for 70.35 500 for 134.87,1 for 0.39 10 for 3.42 25 for 8.09 50 for 15.52 100 for 29.76 250 for 70.35 500 for 134.87
1000 for 258.58 2000 for 495.78 3000 for 725.49 5000 for 1172.1 7000 for 1607.69 10000 for 2247.3 12000 for 2667.0 24000 for 5113.68 25000 for 5313.5,1 for 0.39 10 for 3.42 25 for 8.09 50 for 15.52 100 for 29.76 250 for 70.35 500 for 134.87,1 for 0.39 10 for 3.42 25 for 8.09 50 for 15.52 100 for 29.76 250 for 70.35 500 for 134.87
1000 for 258.58 2000 for 495.78 3000 for 725.49 5000 for 1172.1 7000 for 1607.69 10000 for 2247.3 12000 for 2667.0 24000 for 5113.68 25000 for 5313.5,1 for 0.39 10 for 3.42 25 for 8.09 50 for 15.52 100 for 29.76 250 for 70.35 500 for 134.87,1 for 0.39 10 for 3.42 25 for 8.09 50 for 15.52 100 for 29.76 250 for 70.35 500 for 134.87
1000 for 258.58 2000 for 495.78 3000 for 725.49 5000 for 1172.1 7000 for 1607.69 10000 for 2247.3 12000 for 2667.0 24000 for 5113.68 25000 for 5313.5,1 for 0.39 10 for 3.42 25 for 8.09 50 for 15.52 100 for 29.76 250 for 70.35 500 for 134.87,1 for 0.39 10 for 3.42 25 for 8.09 50 for 15.52 100 for 29.76 250 for 70.35 500 for 134.87
1000 for 258.58 2000 for 495.78 3000 for 725.49 5000 for 1172.1 7000 for 1607.69 10000 for 2247.3 12000 for 2667.0 24000 for 5113.68 25000 for 5313.5,1 for 0.39 10 for 3.42 25 for 8.09 50 for 15.52 100 for 29.76 250 for 70.35 500 for 134.87,1 for 0.39 10 for 3.42 25 for 8.09 50 for 15.52 100 for 29.76 250 for 70.35 500 for 134.87
1000 for 258.58 2000 for 495.78 3000 for 725.49 5000 for 1172.1 7000 for 1607.69 10000 for 2247.3 12000 for 2667.0 24000 for 5113.68 25000 for 5313.5,1 for 0.39 10 for 3.42 25 for 8.09 50 for 15.52 100 for 29.76 250 for 70.35 500 for 134.87,1 for 0.39 10 for 3.42 25 for 8.09 50 for 15.52 100 for 29.76 250 for 70.35 500 for 134.87
1000 for 258.58 2000 for 495.78 3000 for 725.49 5000 for 1172.1 7000 for 1607.69 10000 for 2247.3 12000 for 2667.0 24000 for 5113.68 25000 for 5313.5,1 for 0.39 10 for 3.42 25 for 8.09 50 for 15.52 100 for 29.76 250 for 70.35 500 for 134.87,1 for 0.39 10 for 3.42 25 for 8.09 50 for 15.52 100 for 29.76 250 for 70.35 500 for 134.87
