quantity_available,manufacturer,unit_price,product_status,product_url,standard_pricing,manufacturer_product_number,datasheet_url,Output Configuration,Output Type,Number of Regulators,Voltage - Input (Max),Voltage - Output (Min/Fixed),Voltage Dropout (Max),Grade,Protection Features,Current - Output,Package / Case
33463,Microchip Technology,0.36,Active,https://www.digikey.com/en/products/detail/microchip-technology/MCP1799T-3302H-TT/10491931,3000 in Tape & Reel (TR) for 810.0  1 in Cut Tape (CT) for 0.36  25 in Cut Tape (CT) for 7.5  100 in Cut Tape (CT) for 27.0  1 in Digi-Reel® for 0.36  25 in Digi-Reel® for 7.5  100 in Digi-Reel® for 27.0 ,MCP1799T-3302H/TT,http://ww1.microchip.com/downloads/en/DeviceDoc/MCP1799-Data-Sheet-20006248A.pdf,Positive,Fixed,1,45V,3.3V,1.1V @ 80mA,Automotive,"Over Current, Over Temperature, Short Circuit",80mA,"TO-236-3, SC-59, SOT-23-3"
31478,onsemi,0.36,Active,https://www.digikey.com/en/products/detail/onsemi/NCP186AMX330TAG/5761743,5000 in Tape & Reel (TR) for 754.65  10000 in Tape & Reel (TR) for 1471.2  15000 in Tape & Reel (TR) for 2178.15  25000 in Tape & Reel (TR) for 3577.25  35000 in Tape & Reel (TR) for 4965.1  50000 in Tape & Reel (TR) for 7033.5  1 in Cut Tape (CT) for 0.36  10 in Cut Tape (CT) for 2.47  25 in Cut Tape (CT) for 5.5  100 in Cut Tape (CT) for 18.97  250 in Cut Tape (CT) for 43.83  500 in Cut Tape (CT) for 83.31  1000 in Cut Tape (CT) for 159.48  2500 in Cut Tape (CT) for 379.85  1 in Digi-Reel® for 0.36  10 in Digi-Reel® for 2.47  25 in Digi-Reel® for 5.5  100 in Digi-Reel® for 18.97  250 in Digi-Reel® for 43.83  500 in Digi-Reel® for 83.31  1000 in Digi-Reel® for 159.48  2500 in Digi-Reel® for 379.85 ,NCP186AMX330TAG,https://www.onsemi.com/download/data-sheet/pdf/ncp186-d.pdf,Positive,Fixed,1,5.5V,3.3V,0.145V @ 1A,,"Over Current, Over Temperature, Soft Start",1A,8-XFDFN Exposed Pad
22999,onsemi,0.36,Active,https://www.digikey.com/en/products/detail/onsemi/NCP186BMX330TAG/5817244,5000 in Tape & Reel (TR) for 737.0  10000 in Tape & Reel (TR) for 1436.5  15000 in Tape & Reel (TR) for 2126.7  25000 in Tape & Reel (TR) for 3492.75  35000 in Tape & Reel (TR) for 4847.15  50000 in Tape & Reel (TR) for 6866.0  1 in Cut Tape (CT) for 0.36  10 in Cut Tape (CT) for 2.47  25 in Cut Tape (CT) for 5.5  100 in Cut Tape (CT) for 18.97  250 in Cut Tape (CT) for 43.83  500 in Cut Tape (CT) for 83.31  1000 in Cut Tape (CT) for 159.48  2500 in Cut Tape (CT) for 379.85  1 in Digi-Reel® for 0.36  10 in Digi-Reel® for 2.47  25 in Digi-Reel® for 5.5  100 in Digi-Reel® for 18.97  250 in Digi-Reel® for 43.83  500 in Digi-Reel® for 83.31  1000 in Digi-Reel® for 159.48  2500 in Digi-Reel® for 379.85 ,NCP186BMX330TAG,https://www.onsemi.com/pdf/datasheet/ncp186-d.pdf,Positive,Fixed,1,5.5V,3.3V,0.145V @ 1A,,"Over Current, Over Temperature, Soft Start",1A,8-XFDFN Exposed Pad
19971,Microchip Technology,0.36,Active,https://www.digikey.com/en/products/detail/microchip-technology/MCP1799T-5002H-TT/10492004,3000 in Tape & Reel (TR) for 810.0  1 in Cut Tape (CT) for 0.36  25 in Cut Tape (CT) for 7.5  100 in Cut Tape (CT) for 27.0  1 in Digi-Reel® for 0.36  25 in Digi-Reel® for 7.5  100 in Digi-Reel® for 27.0 ,MCP1799T-5002H/TT,http://ww1.microchip.com/downloads/en/DeviceDoc/MCP1799-Data-Sheet-20006248A.pdf,Positive,Fixed,1,45V,5V,1.1V @ 80mA,Automotive,"Over Current, Over Temperature, Short Circuit",80mA,"TO-236-3, SC-59, SOT-23-3"
4670,Toshiba Semiconductor and Storage,0.36,Active,https://www.digikey.com/en/products/detail/toshiba-semiconductor-and-storage/TAR5SB33-TE85L-F/4305180,3000 in Tape & Reel (TR) for 449.85  6000 in Tape & Reel (TR) for 873.9  9000 in Tape & Reel (TR) for 1291.5  15000 in Tape & Reel (TR) for 2116.65  21000 in Tape & Reel (TR) for 2934.12  30000 in Tape & Reel (TR) for 4151.1  1 in Cut Tape (CT) for 0.36  10 in Cut Tape (CT) for 2.46  25 in Cut Tape (CT) for 5.47  100 in Cut Tape (CT) for 18.88  250 in Cut Tape (CT) for 43.63  500 in Cut Tape (CT) for 82.93  1000 in Cut Tape (CT) for 158.74  1 in Digi-Reel® for 0.36  10 in Digi-Reel® for 2.46  25 in Digi-Reel® for 5.47  100 in Digi-Reel® for 18.88  250 in Digi-Reel® for 43.63  500 in Digi-Reel® for 82.93  1000 in Digi-Reel® for 158.74 ,"TAR5SB33(TE85L,F)",https://toshiba.semicon-storage.com/info/docget.jsp?did=18320&prodName=TAR5SB49,Positive,Fixed,1,15V,3.3V,0.2V @ 50mA,,"Over Current, Over Temperature",200mA,"SC-74A, SOT-753"
57336,onsemi,0.37,Active,https://www.digikey.com/en/products/detail/onsemi/NCP1117LPST33T3G/2194024,4000 in Tape & Reel (TR) for 614.0  8000 in Tape & Reel (TR) for 1195.28  12000 in Tape & Reel (TR) for 1768.44  20000 in Tape & Reel (TR) for 2902.0  28000 in Tape & Reel (TR) for 4025.56  40000 in Tape & Reel (TR) for 5700.0  1 in Cut Tape (CT) for 0.37  10 in Cut Tape (CT) for 2.55  25 in Cut Tape (CT) for 5.66  100 in Cut Tape (CT) for 19.55  250 in Cut Tape (CT) for 45.18  500 in Cut Tape (CT) for 85.91  1000 in Cut Tape (CT) for 164.5  1 in Digi-Reel® for 0.37  10 in Digi-Reel® for 2.55  25 in Digi-Reel® for 5.66  100 in Digi-Reel® for 19.55  250 in Digi-Reel® for 45.18  500 in Digi-Reel® for 85.91  1000 in Digi-Reel® for 164.5 ,NCP1117LPST33T3G,https://www.onsemi.com/pdf/datasheet/ncp1117lp-d.pdf,Positive,Fixed,1,18V,3.3V,1.4V @ 1A,,"Over Current, Over Temperature",1A,"TO-261-4, TO-261AA"
13903,onsemi,0.37,Active,https://www.digikey.com/en/products/detail/onsemi/LM2931CDR2G/661121,2500 in Tape & Reel (TR) for 392.6  5000 in Tape & Reel (TR) for 761.85  7500 in Tape & Reel (TR) for 1125.225  12500 in Tape & Reel (TR) for 1843.0  17500 in Tape & Reel (TR) for 2553.775  25000 in Tape & Reel (TR) for 3611.75  62500 in Tape & Reel (TR) for 8833.125  1 in Cut Tape (CT) for 0.37  10 in Cut Tape (CT) for 2.55  25 in Cut Tape (CT) for 5.67  100 in Cut Tape (CT) for 19.58  250 in Cut Tape (CT) for 45.26  500 in Cut Tape (CT) for 86.07  1000 in Cut Tape (CT) for 164.79  1 in Digi-Reel® for 0.37  10 in Digi-Reel® for 2.55  25 in Digi-Reel® for 5.67  100 in Digi-Reel® for 19.58  250 in Digi-Reel® for 45.26  500 in Digi-Reel® for 86.07  1000 in Digi-Reel® for 164.79 ,LM2931CDR2G,https://www.onsemi.com/pdf/datasheet/lm2931-d.pdf,Positive,Adjustable,1,26V,2.7V,0.6V @ 100mA,,"Over Current, Over Temperature",100mA,"8-SOIC (0.154"", 3.90mm Width)"
6182,Microchip Technology,0.37,Active,https://www.digikey.com/en/products/detail/microchip-technology/MIC94310-PYMT-TR/4840896,5000 in Tape & Reel (TR) for 1350.0  1 in Cut Tape (CT) for 0.37  25 in Cut Tape (CT) for 7.75  100 in Cut Tape (CT) for 27.0  1 in Digi-Reel® for 0.37  25 in Digi-Reel® for 7.75  100 in Digi-Reel® for 27.0 ,MIC94310-PYMT-TR,https://ww1.microchip.com/downloads/en/DeviceDoc/MIC94310-Data-Sheet-20006105B.pdf,Positive,Fixed,1,3.6V,3V,0.1V @ 200mA,,"Over Current, Over Temperature",200mA,4-UFDFN Exposed Pad
55003,onsemi,0.38,Active,https://www.digikey.com/en/products/detail/onsemi/NCP163ASN330T1G/9694661,3000 in Tape & Reel (TR) for 481.53  6000 in Tape & Reel (TR) for 935.76  9000 in Tape & Reel (TR) for 1383.12  15000 in Tape & Reel (TR) for 2267.25  21000 in Tape & Reel (TR) for 3143.28  30000 in Tape & Reel (TR) for 4447.8  1 in Cut Tape (CT) for 0.38  10 in Cut Tape (CT) for 2.62  25 in Cut Tape (CT) for 5.84  100 in Cut Tape (CT) for 20.16  250 in Cut Tape (CT) for 46.62  500 in Cut Tape (CT) for 88.66  1000 in Cut Tape (CT) for 169.8  1 in Digi-Reel® for 0.38  10 in Digi-Reel® for 2.62  25 in Digi-Reel® for 5.84  100 in Digi-Reel® for 20.16  250 in Digi-Reel® for 46.62  500 in Digi-Reel® for 88.66  1000 in Digi-Reel® for 169.8 ,NCP163ASN330T1G,https://www.onsemi.com/pdf/datasheet/ncp163-d.pdf,Positive,Fixed,1,5.5V,3.3V,0.145V @ 250mA,,"Over Current, Over Temperature, Soft Start",250mA,"SC-74A, SOT-753"
14624,STMicroelectronics,0.38,Active,https://www.digikey.com/en/products/detail/stmicroelectronics/LD1117S50TR/1038360,2500 in Tape & Reel (TR) for 411.725  5000 in Tape & Reel (TR) for 799.15  7500 in Tape & Reel (TR) for 1180.5  12500 in Tape & Reel (TR) for 1933.75  17500 in Tape & Reel (TR) for 2679.775  25000 in Tape & Reel (TR) for 3790.25  62500 in Tape & Reel (TR) for 9271.875  1 in Cut Tape (CT) for 0.38  10 in Cut Tape (CT) for 2.67  25 in Cut Tape (CT) for 5.93  100 in Cut Tape (CT) for 20.5  250 in Cut Tape (CT) for 47.41  500 in Cut Tape (CT) for 90.19  1000 in Cut Tape (CT) for 172.75  1 in Digi-Reel® for 0.38  10 in Digi-Reel® for 2.67  25 in Digi-Reel® for 5.93  100 in Digi-Reel® for 20.5  250 in Digi-Reel® for 47.41  500 in Digi-Reel® for 90.19  1000 in Digi-Reel® for 172.75 ,LD1117S50TR,https://www.st.com/content/ccc/resource/technical/document/datasheet/99/3b/7d/91/91/51/4b/be/CD00000544.pdf/files/CD00000544.pdf/jcr:content/translations/en.CD00000544.pdf,Positive,Fixed,1,15V,5V,1.2V @ 800mA,,"Over Current, Over Temperature",800mA,"TO-261-4, TO-261AA"
