Tape & Reel (TR),Cut Tape (CT),Digi-Reel®
3000 for 810.0,1 for 0.36 25 for 7.5 100 for 27.0,1 for 0.36 25 for 7.5 100 for 27.0
5000 for 754.65 10000 for 1471.2 15000 for 2178.15 25000 for 3577.25 35000 for 4965.1 50000 for 7033.5,1 for 0.36 10 for 2.47 25 for 5.5 100 for 18.97 250 for 43.83 500 for 83.31 1000 for 159.48 2500 for 379.85,1 for 0.36 10 for 2.47 25 for 5.5 100 for 18.97 250 for 43.83 500 for 83.31 1000 for 159.48 2500 for 379.85
5000 for 737.0 10000 for 1436.5 15000 for 2126.7 25000 for 3492.75 35000 for 4847.15 50000 for 6866.0,1 for 0.36 10 for 2.47 25 for 5.5 100 for 18.97 250 for 43.83 500 for 83.31 1000 for 159.48 2500 for 379.85,1 for 0.36 10 for 2.47 25 for 5.5 100 for 18.97 250 for 43.83 500 for 83.31 1000 for 159.48 2500 for 379.85
3000 for 810.0,1 for 0.36 25 for 7.5 100 for 27.0,1 for 0.36 25 for 7.5 100 for 27.0
3000 for 449.85 6000 for 873.9 9000 for 1291.5 15000 for 2116.65 21000 for 2934.12 30000 for 4151.1,1 for 0.36 10 for 2.46 25 for 5.47 100 for 18.88 250 for 43.63 500 for 82.93 1000 for 158.74,1 for 0.36 10 for 2.46 25 for 5.47 100 for 18.88 250 for 43.63 500 for 82.93 1000 for 158.74
4000 for 614.0 8000 for 1195.28 12000 for 1768.44 20000 for 2902.0 28000 for 4025.56 40000 for 5700.0,1 for 0.37 10 for 2.55 25 for 5.66 100 for 19.55 250 for 45.18 500 for 85.91 1000 for 164.5,1 for 0.37 10 for 2.55 25 for 5.66 100 for 19.55 250 for 45.18 500 for 85.91 1000 for 164.5
2500 for 392.6 5000 for 761.85 7500 for 1125.225 12500 for 1843.0 17500 for 2553.775 25000 for 3611.75 62500 for 8833.125,1 for 0.37 10 for 2.55 25 for 5.67 100 for 19.58 250 for 45.26 500 for 86.07 1000 for 164.79,1 for 0.37 10 for 2.55 25 for 5.67 100 for 19.58 250 for 45.26 500 for 86.07 1000 for 164.79
5000 for 1350.0,1 for 0.37 25 for 7.75 100 for 27.0,1 for 0.37 25 for 7.75 100 for 27.0
3000 for 481.53 6000 for 935.76 9000 for 1383.12 15000 for 2267.25 21000 for 3143.28 30000 for 4447.8,1 for 0.38 10 for 2.62 25 for 5.84 100 for 20.16 250 for 46.62 500 for 88.66 1000 for 169.8,1 for 0.38 10 for 2.62 25 for 5.84 100 for 20.16 250 for 46.62 500 for 88.66 1000 for 169.8
2500 for 411.725 5000 for 799.15 7500 for 1180.5 12500 for 1933.75 17500 for 2679.775 25000 for 3790.25 62500 for 9271.875,1 for 0.38 10 for 2.67 25 for 5.93 100 for 20.5 250 for 47.41 500 for 90.19 1000 for 172.75,1 for 0.38 10 for 2.67 25 for 5.93 100 for 20.5 250 for 47.41 500 for 90.19 1000 for 172.75
3000 for 486.57 6000 for 945.6 9000 for 1397.7 15000 for 2291.4 21000 for 3176.67 30000 for 4495.2,1 for 0.38 10 for 2.65 25 for 5.89 100 for 20.37 250 for 47.1 500 for 89.58 1000 for 171.57,1 for 0.38 10 for 2.65 25 for 5.89 100 for 20.37 250 for 47.1 500 for 89.58 1000 for 171.57
3000 for 495.84 6000 for 963.72 9000 for 1424.61 15000 for 2335.5 21000 for 3237.99 30000 for 4582.2,1 for 0.39 10 for 2.7 25 for 6.0 100 for 20.74 250 for 47.97 500 for 91.26 1000 for 174.81,1 for 0.39 10 for 2.7 25 for 6.0 100 for 20.74 250 for 47.97 500 for 91.26 1000 for 174.81
3000 for 870.0,1 for 0.39 25 for 8.0 100 for 29.0,1 for 0.39 25 for 8.0 100 for 29.0
2500 for 424.15 5000 for 823.45 7500 for 1216.425 12500 for 1992.875 17500 for 2761.675 25000 for 3906.5 62500 for 9557.5,1 for 0.39 10 for 2.74 25 for 6.1 100 for 21.1 250 for 48.81 500 for 92.88 1000 for 177.93,1 for 0.39 10 for 2.74 25 for 6.1 100 for 21.1 250 for 48.81 500 for 92.88 1000 for 177.93
2500 for 425.5 5000 for 826.05 7500 for 1220.325 12500 for 1999.25 17500 for 2770.6 25000 for 3919.0 62500 for 9588.125,1 for 0.4 10 for 2.75 25 for 6.12 100 for 21.17 250 for 48.96 500 for 93.16 1000 for 178.48,1 for 0.4 10 for 2.75 25 for 6.12 100 for 21.17 250 for 48.96 500 for 93.16 1000 for 178.48
2500 for 429.35 5000 for 833.55 7500 for 1231.425 12500 for 2017.5 17500 for 2795.975 25000 for 3955.0 62500 for 9676.875,1 for 0.4 10 for 2.77 25 for 6.17 100 for 21.35 250 for 49.4 500 for 93.99 1000 for 180.09,1 for 0.4 10 for 2.77 25 for 6.17 100 for 21.35 250 for 49.4 500 for 93.99 1000 for 180.09
2500 for 426.925 5000 for 828.8 7500 for 1224.375 12500 for 2006.0 17500 for 2779.875 25000 for 3932.25 62500 for 9620.625,1 for 0.4 10 for 2.76 25 for 6.14 100 for 21.23 250 for 49.12 500 for 93.47 1000 for 179.07,1 for 0.4 10 for 2.76 25 for 6.14 100 for 21.23 250 for 49.12 500 for 93.47 1000 for 179.07
2500 for 448.8 5000 for 871.55 7500 for 1287.675 12500 for 2110.0 17500 for 2924.425 25000 for 4137.0,1 for 0.41 10 for 2.89 25 for 6.44 100 for 22.28 250 for 51.58 500 for 98.19 1000 for 188.18,1 for 0.41 10 for 2.89 25 for 6.44 100 for 22.28 250 for 51.58 500 for 98.19 1000 for 188.18
4000 for 701.84 8000 for 1367.2 12000 for 2023.32 20000 for 3321.6 28000 for 4608.8 40000 for 6527.2,1 for 0.41 10 for 2.88 25 for 6.42 100 for 22.23 250 for 51.46 500 for 97.96 1000 for 187.74,1 for 0.41 10 for 2.88 25 for 6.42 100 for 22.23 250 for 51.46 500 for 97.96 1000 for 187.74
2500 for 441.75 5000 for 857.75 7500 for 1267.275 12500 for 2076.5 17500 for 2877.875 25000 for 4071.0 62500 for 9961.25,1 for 0.41 10 for 2.85 25 for 6.34 100 for 21.95 250 for 50.79 500 for 96.67 1000 for 185.24,1 for 0.41 10 for 2.85 25 for 6.34 100 for 21.95 250 for 50.79 500 for 96.67 1000 for 185.24
2500 for 438.225 5000 for 850.85 7500 for 1257.075 12500 for 2059.625 17500 for 2854.425 25000 for 4038.0 62500 for 9880.0,1 for 0.41 10 for 2.83 25 for 6.29 100 for 21.78 250 for 50.39 500 for 95.91 1000 for 183.77,1 for 0.41 10 for 2.83 25 for 6.29 100 for 21.78 250 for 50.39 500 for 95.91 1000 for 183.77
2500 for 457.625 5000 for 888.75 7500 for 1313.175 12500 for 2151.875 17500 for 2982.525 25000 for 4219.5,1 for 0.42 10 for 2.94 25 for 6.56 100 for 22.71 250 for 52.57 500 for 100.09 1000 for 191.85,1 for 0.42 10 for 2.94 25 for 6.56 100 for 22.71 250 for 52.57 500 for 100.09 1000 for 191.85
2500 for 461.85 5000 for 897.0 7500 for 1325.475 12500 for 2172.0 17500 for 3010.525 25000 for 4259.0,1 for 0.43 10 for 2.97 25 for 6.61 100 for 22.91 250 for 53.05 500 for 101.0 1000 for 193.6,1 for 0.43 10 for 2.97 25 for 6.61 100 for 22.91 250 for 53.05 500 for 101.0 1000 for 193.6
3000 for 571.95 6000 for 1112.46 9000 for 1645.02 15000 for 2698.05 21000 for 3741.57 30000 for 5296.2,1 for 0.44 10 for 3.08 25 for 6.87 100 for 23.81 250 for 55.14 500 for 105.02 1000 for 201.37,1 for 0.44 10 for 3.08 25 for 6.87 100 for 23.81 250 for 55.14 500 for 105.02 1000 for 201.37
2500 for 491.1 5000 for 954.1 7500 for 1410.0 12500 for 2311.0 17500 for 3203.55 25000 for 4532.75,1 for 0.45 10 for 3.14 25 for 7.01 100 for 24.31 250 for 56.33 500 for 107.29 1000 for 205.76,1 for 0.45 10 for 3.14 25 for 7.01 100 for 24.31 250 for 56.33 500 for 107.29 1000 for 205.76
4000 for 1360.0,1 for 0.45 25 for 9.5 100 for 34.0,1 for 0.45 25 for 9.5 100 for 34.0
3000 for 1020.0,1 for 0.45 25 for 9.0 100 for 34.0,1 for 0.45 25 for 9.0 100 for 34.0
3000 for 584.55 6000 for 1137.06 9000 for 1681.56 15000 for 2758.05 21000 for 3824.94 30000 for 5414.4,1 for 0.45 10 for 3.14 25 for 7.01 100 for 24.31 250 for 56.33 500 for 107.29 1000 for 205.76,1 for 0.45 10 for 3.14 25 for 7.01 100 for 24.31 250 for 56.33 500 for 107.29 1000 for 205.76
3000 for 1020.0,1 for 0.45 25 for 9.0 100 for 34.0,1 for 0.45 25 for 9.0 100 for 34.0
3000 for 586.23 6000 for 1140.36 9000 for 1686.42 15000 for 2766.15 21000 for 3836.07 30000 for 5430.0,1 for 0.45 10 for 3.15 25 for 7.03 100 for 24.38 250 for 56.49 500 for 107.6 1000 for 206.34,1 for 0.45 10 for 3.15 25 for 7.03 100 for 24.38 250 for 56.49 500 for 107.6 1000 for 206.34
3000 for 586.23 6000 for 1140.36 9000 for 1686.42 15000 for 2766.15 21000 for 3836.07 30000 for 5430.0,1 for 0.45 10 for 3.15 25 for 7.03 100 for 24.38 250 for 56.49 500 for 107.6 1000 for 206.34,1 for 0.45 10 for 3.15 25 for 7.03 100 for 24.38 250 for 56.49 500 for 107.6 1000 for 206.34
3000 for 584.55 6000 for 1137.06 9000 for 1681.56 15000 for 2758.05 21000 for 3824.94 30000 for 5414.4,1 for 0.45 10 for 3.14 25 for 7.01 100 for 24.31 250 for 56.33 500 for 107.29 1000 for 205.76,1 for 0.45 10 for 3.14 25 for 7.01 100 for 24.31 250 for 56.33 500 for 107.29 1000 for 205.76
3000 for 592.92 6000 for 1153.44 9000 for 1705.86 15000 for 2798.1 21000 for 3880.59 30000 for 5493.0,1 for 0.46 10 for 3.18 25 for 7.11 100 for 24.65 250 for 57.12 500 for 108.81 1000 for 208.68,1 for 0.46 10 for 3.18 25 for 7.11 100 for 24.65 250 for 57.12 500 for 108.81 1000 for 208.68
3000 for 597.12 6000 for 1161.66 9000 for 1718.01 15000 for 2818.05 21000 for 3908.31 30000 for 5532.6,1 for 0.46 10 for 3.21 25 for 7.15 100 for 24.82 250 for 57.51 500 for 109.57 1000 for 210.15,1 for 0.46 10 for 3.21 25 for 7.15 100 for 24.82 250 for 57.51 500 for 109.57 1000 for 210.15
3000 for 597.12 6000 for 1161.66 9000 for 1718.01 15000 for 2818.05 21000 for 3908.31 30000 for 5532.6,1 for 0.46 10 for 3.21 25 for 7.15 100 for 24.82 250 for 57.51 500 for 109.57 1000 for 210.15,1 for 0.46 10 for 3.21 25 for 7.15 100 for 24.82 250 for 57.51 500 for 109.57 1000 for 210.15
5000 for 1750.0,1 for 0.46 25 for 9.25 100 for 35.0,1 for 0.46 25 for 9.25 100 for 35.0
4000 for 800.52 8000 for 1560.4 12000 for 2310.0 20000 for 3793.6 28000 for 5264.84 40000 for 7458.0,1 for 0.47 10 for 3.26 25 for 7.27 100 for 25.24 250 for 58.5 500 for 111.46 1000 for 213.81,1 for 0.47 10 for 3.26 25 for 7.27 100 for 25.24 250 for 58.5 500 for 111.46 1000 for 213.81
2500 for 510.775 5000 for 992.55 7500 for 1467.0 12500 for 2404.75 17500 for 3333.75 25000 for 4717.25,1 for 0.47 10 for 3.26 25 for 7.28 100 for 25.25 250 for 58.54 500 for 111.53 1000 for 213.94,1 for 0.47 10 for 3.26 25 for 7.28 100 for 25.25 250 for 58.54 500 for 111.53 1000 for 213.94
